,Track,Explicit,Tpopularity,Artist,Album,Rdate
235,LadyBoy,false,33,RuPaul,"Essential, Vol. 2",2017-06-09
236,Responsitrannity (Matt Pop Edit),false,36,RuPaul,"Essential, Vol. 2",2017-06-09
237,Lick It Lollipop (feat. Lady Bunny),false,37,RuPaul,"Essential, Vol. 2",2017-06-09
238,Cha Cha Bitch (feat. Ab Soto),false,33,RuPaul,"Essential, Vol. 2",2017-06-09
239,The Realness (feat. Eric Kupper),false,40,RuPaul,"Essential, Vol. 2",2017-06-09
240,Supermodel (feat. Skeltal Ki),false,48,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
241,A Shade Shady (Now Prance) [feat. Vjuan Allure],false,29,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
242,Free 2 Be (feat. Skeltal Ki & Chris Willis),false,29,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
243,Call Me Starrbooty (feat. YLXR),false,27,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
244,A Little Bit of Love (feat. KUMMERSPECK),false,44,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
245,Mighty Love (feat. Matt Pop),false,31,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
246,House of Love (feat. Matt Pop & Ellis Miah),false,31,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
247,Come Pay Me (feat. Vjuan Allure),false,15,RuPaul,Butch Queen: Ru-Mixes,2016-04-15
248,Kitty Girl,false,52,RuPaul,American,2017-03-24
249,Hey Doll,false,41,RuPaul,American,2017-03-24
250,It Ain't Over,false,34,RuPaul,American,2017-03-24
251,U Wear It Well (Original Instrumental),false,20,RuPaul,Butch Queen: Ru-Mixes,2016-04-15
252,Rock It (To the Moon) [feat. KUMMERSPECK],false,49,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
253,Just a Lil In & Out (feat. Ellis Miah),false,31,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
254,Snapshot (feat. Macutchi),false,50,RuPaul,"Remember Me: Essential, Vol. 1",2017-02-03
255,"Charisma, Uniqueness, Nerve & Talent",false,54,RuPaul,American,2017-03-24
256,Spotlight,false,46,RuPaul,American,2017-03-24
257,Mighty Love (feat. Kummerspeck),false,53,RuPaul,American,2017-03-24
258,Super Queen - Cast Version,false,58,RuPaul,Super Queen (Cast Version),2019-02-17
259,Main Event,false,49,RuPaul,Champion,2009-04-07
260,Champion,false,52,RuPaul,Champion,2009-04-07
261,Never Go Home Again,false,30,RuPaul,Champion,2009-04-07
262,Destiny Is Mine,false,34,RuPaul,Champion,2009-04-07
263,Let's Turn The Night,false,32,RuPaul,Champion,2009-04-07
264,Devil Made Me Do It,false,31,RuPaul,Champion,2009-04-07
265,"Theme From ""Drag Race""",false,40,RuPaul,Champion,2009-04-07
266,Throw Ya Hands Up,false,26,RuPaul,Champion,2009-04-07
267,Color Me Love (feat. Rebecca Romijn & Markaholic),false,26,RuPaul,Realness,2015-03-02
268,Lipsync For Your Life,false,0,RuPaul,Jealous Of My Boogie - The RuMixes,2009-06-30
269,"Charisma, Uniqueness...",false,0,RuPaul,Jealous Of My Boogie - The RuMixes,2009-06-30
270,Sashay Away,false,0,RuPaul,Jealous Of My Boogie - The RuMixes,2009-06-30
271,Call Me Starrbooty,true,10,RuPaul,Starrbooty: Original Motion Picture Soundtrack,2007-06-20
272,Supermodel (You Better Work),false,55,RuPaul,Supermodel of the World,1993-06-08
273,Free Your Mind,false,24,RuPaul,Supermodel of the World,1993-06-08
274,Supernatural,false,20,RuPaul,Supermodel of the World,1993-06-08
275,House of Love,false,28,RuPaul,Supermodel of the World,1993-06-08
276,Back to My Roots,false,26,RuPaul,Supermodel of the World,1993-06-08
277,Dem Beats,true,59,Todrick Hall,Forbidden,2018-03-27
278,Seventeen,false,57,Sharon Van Etten,Seventeen,2019-01-08
279,Motion Sickness,false,66,Phoebe Bridgers,Stranger in the Alps,2017-09-22
280,Yours & Mine,false,51,Lucy Dacus,Historian,2018-03-02
281,Valley,false,52,Perfume Genius,No Shape,2017-05-05
282,The End of the World,false,60,Sharon Van Etten,The End of the World,2017-03-03
283,To the Boys,false,51,Molly Burch,To the Boys,2018-08-22
284,Oom Sha La La,false,59,Haley Heynderickx,I Need to Start a Garden,2018-03-02
285,Give It Up,false,50,Angel Olsen,MY WOMAN,2016-09-02
286,Follow My Voice,false,60,Julie Byrne,Not Even Happiness,2017-01-27
287,Mary,false,64,Big Thief,Capacity,2017-06-09
288,I'm Giving up on You,false,35,Sharon Van Etten,(It Was) Because I Was in Love (Deluxe Reissue),2017-11-17
289,symbol,false,58,Adrianne Lenker,abysskiss,2018-10-05
290,Scott Street,false,66,Phoebe Bridgers,Stranger in the Alps,2017-09-22
291,That's That,false,50,Cass McCombs,Dropping The Writ,2007-10-09
292,"Words (Music from the Film ""Tig"")",false,37,Sharon Van Etten,"Words (Music from the Film ""Tig"")",2015-07-17
293,Look Like That,false,36,Violent Femmes,Why Do Birds Sing?,1991-04-26
294,Add It Up - 2002 Remastered Version,true,56,Violent Femmes,Violent Femmes,1983
295,Kick In The Eye,false,47,Bauhaus,Mask,1981
296,Add It Up - 2002 Remastered Version,true,56,Violent Femmes,Violent Femmes,1983
297,This Must Be the Place (Naive Melody) - Live,false,54,Talking Heads,Stop Making Sense,1984
298,Sweet Jane (Mono) - 2015 Remastered,false,35,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,1970
299,Adventures Close To Home,false,22,The Slits,Cut,1979
300,Right Wing Pigeons,false,26,The Dead Milkmen,Big Lizard In My Back Yard,1985-06-01
301,Overground,false,30,Siouxsie and the Banshees,The Scream,1978
302,Shoplifting,true,30,The Slits,Cut (Deluxe Edition),1979
303,Freedom of '76,false,43,Ween,Chocolate & Cheese,1994
304,Elevation,false,44,Television,Marquee Moon,1977-02-08
305,No Killing,false,26,Violent Femmes,The Violent Femmes Collection,2013-11-11
306,End Of The Party,false,32,The English Beat,Special Beat Service (Remastered),2012-01-01
307,FM,false,24,The Slits,Cut,1979
308,Paralysed,false,41,Gang Of Four,Solid Gold,1981-03-01
309,I'll Be Your Mirror,false,51,The Velvet Underground,The Velvet Underground & Nico 45th Anniversary (Super Deluxe Edition),1967-03-12
310,"Shake, Rattle And Roll",false,51,Big Joe Turner,Shake Rattle & Rock,2007-10-30
311,Bo Diddley,false,0,Bo Diddley,Bring It To Bo,2011-06-02
312,Voodoo Priestess - Remastered,false,19,Screamin' Jay Hawkins,Are You One of Jay's Kids?,2018-05-18
313,Iko Iko,false,48,Dr. John,Dr. John's Gumbo,1972
314,Spanish Guitar,false,35,Bo Diddley,Bo Diddley - Jukebox Hero,2014-11-21
315,Sixty Minute Man,false,42,Rufus Thomas,Do the Funky Chicken [Stax Remasters],2011-01-01
